Estacao	Data	Hora	Precipitacao	TempMaxima	TempMinima	Insolacao	Evaporacao Piche	Temp Comp Media	Umidade Relativa Media	Velocidade do Vento Media
83565	18/11/1971	1200	2	sv	19.2	sv	sv	sv	sv	sv
83565	19/11/1971	0	sv	30.2	sv	5.9	4.7	24.44	74.5	2.666.667
83565	19/11/1971	1200	0.4	sv	20	sv	sv	sv	sv	sv
83565	20/11/1971	0	sv	27.9	sv	7.9	8	22.46	70.25	3.666.667
83565	20/11/1971	1200	0	sv	17.8	sv	sv	sv	sv	sv
83565	21/11/1971	0	sv	26.5	sv	3.2	9	20.24	71.5	2.666.667
83565	21/11/1971	1200	0	sv	12.9	sv	sv	sv	sv	sv
83565	22/11/1971	0	sv	25.2	sv	1	7.2	20.84	72.75	2.333.333
83565	22/11/1971	1200	0	sv	14	sv	sv	sv	sv	sv
83565	23/11/1971	0	sv	28.9	sv	8.4	6.3	22.64	70.25	1.333.333
83565	23/11/1971	1200	0	sv	14.6	sv	sv	sv	sv	sv
83565	24/11/1971	0	sv	32.2	sv	9.3	5.2	23.22	72.75	2
83565	24/11/1971	1200	0.4	sv	18	sv	sv	sv	sv	sv
83565	25/11/1971	0	sv	34.4	sv	12.3	5.8	26.3	48.75	2.666.667
83565	25/11/1971	1200	0	sv	16.7	sv	sv	sv	sv	sv
83565	26/11/1971	0	sv	35.3	sv	10.4	10.2	26.48	60.75	2
83565	26/11/1971	1200	0	sv	16.6	sv	sv	sv	sv	sv
83565	27/11/1971	0	sv	35.2	sv	8.3	8.8	25.6	71	3.666.667
83565	27/11/1971	1200	0	sv	19.7	sv	sv	sv	sv	sv
83565	28/11/1971	0	sv	26	sv	0.4	5.9	22.28	87.5	0.333333
83565	28/11/1971	1200	6.4	sv	19.7	sv	sv	sv	sv	sv
83565	29/11/1971	0	sv	30	sv	4.5	2.3	23.94	75.5	1
83565	29/11/1971	1200	0	sv	18.9	sv	sv	sv	sv	sv
83565	30/11/1971	0	sv	32.8	sv	3.4	5.4	23.86	81.75	0.333333
83565	30/11/1971	1200	0	sv	20	sv	sv	sv	sv	sv
83565	01/12/1971	0	sv	32.3	sv	8.1	6	24.34	83.5	1.333.333
83565	01/12/1971	1200	10	sv	18.9	sv	sv	sv	sv	sv
83565	02/12/1971	0	sv	31.6	sv	4.3	3.4	24.2	87.25	1.666.667
83565	02/12/1971	1200	8.2	sv	19.7	sv	sv	sv	sv	sv
83565	03/12/1971	0	sv	32.3	sv	5.8	2.7	25.3	81.5	2.666.667
83565	03/12/1971	1200	0	sv	20.3	sv	sv	sv	sv	sv
83565	04/12/1971	0	sv	24	sv	0	5	20.56	95.25	1.666.667
83565	04/12/1971	1200	0.4	sv	17.8	sv	sv	sv	sv	sv
83565	05/12/1971	0	sv	29	sv	7.1	0.6	23.6	80.5	0.333333
83565	05/12/1971	1200	27.2	sv	16.9	sv	sv	sv	sv	sv
83565	06/12/1971	0	sv	30	sv	11.3	3.9	23.34	77.25	2
83565	06/12/1971	1200	0	sv	16.2	sv	sv	sv	sv	sv
83565	07/12/1971	0	sv	31.3	sv	5.2	5.2	25.68	74.75	1.666.667
83565	07/12/1971	1200	0	sv	21.1	sv	sv	sv	sv	sv
83565	08/12/1971	0	sv	29.2	sv	2.7	4.2	24	92	0.666667
83565	08/12/1971	1200	3	sv	21	sv	sv	sv	sv	sv
83565	09/12/1971	0	sv	28.8	sv	2.5	1.8	23.58	93	0.333333
83565	09/12/1971	1200	9.8	sv	20.2	sv	sv	sv	sv	sv
83565	10/12/1971	0	sv	30.3	sv	4.8	1.1	24.62	80.5	1.666.667
83565	10/12/1971	1200	57.8	sv	19.9	sv	sv	sv	sv	sv
83565	11/12/1971	0	sv	31.5	sv	4.5	2.9	24.66	86.5	0.666667
83565	11/12/1971	1200	3.2	sv	19.5	sv	sv	sv	sv	sv
83565	12/12/1971	0	sv	30.8	sv	4.2	3.2	24.2	85.5	2
83565	12/12/1971	1200	2.4	sv	19.6	sv	sv	sv	sv	sv
83565	13/12/1971	0	sv	31.5	sv	1.3	2.1	23.66	90.75	0.333333
83565	13/12/1971	1200	2.4	sv	21	sv	sv	sv	sv	sv
83565	14/12/1971	0	sv	27	sv	1.3	1.7	23.62	91	1
83565	14/12/1971	1200	44.6	sv	21.1	sv	sv	sv	sv	sv
83565	15/12/1971	0	sv	28.9	sv	1.3	1.3	24.5	84.25	0.333333
83565	15/12/1971	1200	61.9	sv	20	sv	sv	sv	sv	sv
83565	16/12/1971	0	sv	31.8	sv	10.9	2.4	25.52	80.5	1.333.333
83565	16/12/1971	1200	0	sv	20	sv	sv	sv	sv	sv
83565	17/12/1971	0	sv	34.3	sv	10.4	4.4	26.06	75.5	1.666.667
83565	17/12/1971	1200	0	sv	19.4	sv	sv	sv	sv	sv
83565	18/12/1971	0	sv	31	sv	4.8	4.6	25.1	84	2.333.333
83565	18/12/1971	1200	17.2	sv	19.2	sv	sv	sv	sv	sv
83565	19/12/1971	0	sv	32.7	sv	4.9	3.5	24.08	86.25	0.666667
83565	19/12/1971	1200	0.8	sv	19.9	sv	sv	sv	sv	sv
83565	20/12/1971	0	sv	31.8	sv	5.9	2.5	25.04	84	0.333333
83565	20/12/1971	1200	73.4	sv	20.2	sv	sv	sv	sv	sv
83565	21/12/1971	0	sv	28	sv	0.7	3.2	24.64	89	0.666667
83565	21/12/1971	1200	0	sv	21.2	sv	sv	sv	sv	sv
83565	22/12/1971	0	sv	26.5	sv	0	1.4	23.3	94.25	0
83565	22/12/1971	1200	58	sv	20.4	sv	sv	sv	sv	sv
83565	23/12/1971	0	sv	27.5	sv	0.8	0.9	23.6	92.25	2
83565	23/12/1971	1200	16.8	sv	20.7	sv	sv	sv	sv	sv
83565	24/12/1971	0	sv	27	sv	1	1.3	21.68	89	0.666667
83565	24/12/1971	1200	3.2	sv	17.5	sv	sv	sv	sv	sv
83565	25/12/1971	0	sv	28.8	sv	6.7	1.7	23.5	87	1
83565	25/12/1971	1200	45.6	sv	19.4	sv	sv	sv	sv	sv
83565	26/12/1971	0	sv	28.7	sv	2.5	2.4	22.94	88.25	1
83565	26/12/1971	1200	0	sv	20.6	sv	sv	sv	sv	sv
83565	27/12/1971	0	sv	29.5	sv	2.6	1.9	22.52	90.5	0.333333
83565	27/12/1971	1200	15.6	sv	17.8	sv	sv	sv	sv	sv
83565	28/12/1971	0	sv	33	sv	10	1.9	25.76	77	0.666667
83565	28/12/1971	1200	1.2	sv	18.2	sv	sv	sv	sv	sv
83565	29/12/1971	0	sv	32.7	sv	7.1	4.2	24.86	75.25	2.333.333
