Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	13/03/1993	1800	32.9	29.1	74	sv	32	1	8
83513	14/03/1993	0	26.4	25.7	94	sv	0	0	0
83513	14/03/1993	1200	30.9	28.1	80	sv	0	0	2
83513	14/03/1993	1800	35.1	30.3	69	sv	32	1	8
83513	15/03/1993	0	24.8	23.3	88	sv	36	2	10
83513	15/03/1993	1200	26.8	24.7	83	sv	36	1	0
83513	15/03/1993	1800	34.3	29.1	67	sv	32	2	2
83513	16/03/1993	0	28	26.5	88	sv	0	0	0
83513	16/03/1993	1200	27.4	25.1	82	sv	36	1	0
83513	16/03/1993	1800	34.5	29.7	69	sv	32	1	4
83513	17/03/1993	0	27.8	26.5	90	sv	0	0	0
83513	17/03/1993	1200	28.5	26.7	86	sv	32	1	0
83513	17/03/1993	1800	34.5	29.3	67	sv	27	2	8
83513	18/03/1993	0	27	24.5	81	sv	9	1	0
83513	18/03/1993	1200	27.4	26.3	91	sv	32	1	8
83513	18/03/1993	1800	33.7	28.9	69	sv	27	2	8
83513	19/03/1993	0	25.2	24.5	94	sv	0	0	10
83513	19/03/1993	1200	28.7	26.3	82	sv	36	1	0
83513	19/03/1993	1800	23	22.7	97	sv	0	0	10
83513	20/03/1993	0	24.8	23.9	92	sv	0	0	10
83513	20/03/1993	1200	25.8	24.5	89	sv	23	1	10
83513	20/03/1993	1800	29.3	25.9	75	sv	0	0	6
83513	21/03/1993	0	25.8	25.1	94	sv	0	0	10
83513	21/03/1993	1200	25	24.3	94	sv	0	0	10
83513	21/03/1993	1800	28.9	25.7	76	sv	36	1	8
83513	22/03/1993	0	25.4	24.7	94	sv	0	0	0
83513	22/03/1993	1200	26.4	24.5	85	sv	0	0	0
83513	22/03/1993	1800	32.3	27.1	65	sv	36	1	6
83513	23/03/1993	0	22.8	22.1	94	sv	14	2	10
83513	23/03/1993	1200	25.2	23.9	89	sv	0	0	6
83513	23/03/1993	1800	28.7	26.3	82	sv	23	1	10
83513	24/03/1993	0	25.2	24.5	94	sv	0	0	10
83513	24/03/1993	1200	25.2	24.9	97	sv	0	0	8
83513	24/03/1993	1800	33.1	27.9	66	sv	32	1	8
83513	25/03/1993	0	25.2	24.3	92	sv	0	0	0
83513	25/03/1993	1200	27	25.3	87	sv	0	0	6
83513	25/03/1993	1800	26	25.3	94	sv	0	0	8
83513	26/03/1993	0	26.2	25.3	93	sv	0	0	0
83513	26/03/1993	1200	26.4	25.1	90	sv	23	1	8
83513	26/03/1993	1800	25.4	23.1	81	sv	27	1	8
83513	27/03/1993	0	25.2	24.7	96	sv	0	0	0
83513	27/03/1993	1200	28	25.7	82	sv	0	0	2
83513	27/03/1993	1800	31.5	26.7	67	sv	0	0	8
83513	28/03/1993	0	26.8	26.1	94	sv	0	0	6
83513	28/03/1993	1200	27.2	26.1	91	sv	32	1	8
83513	28/03/1993	1800	27.2	25.7	88	sv	32	1	10
83513	29/03/1993	0	26	25.3	94	sv	0	0	8
83513	29/03/1993	1200	25.4	24.9	96	sv	0	0	8
83513	29/03/1993	1800	31.3	27.5	74	sv	27	1	10
83513	30/03/1993	0	23.2	22.9	97	sv	0	0	10
83513	30/03/1993	1200	26	24.9	91	sv	36	1	10
83513	30/03/1993	1800	30.9	26.5	70	sv	36	1	8
